recid,crhash,chash,start,end
RVZY01000002.1,f057e8c10d59c24e5a7c,3a218a157990e9a191e1,346092,346853
RVZY01000002.1,f057e8c10d59c24e5a7c,3a218a157990e9a191e1,363405,363799
RVZY01000008.1,a6a161d98c80930090f7,dbbccfdf4adcd0083df0,6361,6682
RVZY01000010.1,b1eeef29a1a1996d3493,faa04b775b2859733be2,137211,137388
RVZY01000012.1,752391d97017ee1ad87d,5bf490e7dec357122365,106421,106550
RVZY01000018.1,790fb86a39540cf190e3,1f4de21ec7d2f51848f4,63199,63329
RVZY01000019.1,d8bc2b96c11dd19ae96e,ef813d9f461f54812ef4,14329,14532
RVZY01000020.1,d8871b2c63e67c18cc7a,4c1e1ed1879f15f0d002,61057,61156
RVZY01000023.1,96fee16e241852b9f57b,2599f25b3b7c5561894d,28413,28797
RVZY01000027.1,0c13867c5efb52df3410,ba45898b1455c005baf3,12299,12406
RVZY01000040.1,d7064f01ccca82868db2,790f3885d403fbdae4af,6430,6604
RVZY01000044.1,23c000acf3c0d61254f1,2a50ed42bb9b71210e4e,7829,7987
