#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
6be956b3dd0dfba935   -            364 Dermcidin            PF15291.8     99   4.8e-06   13.4   0.1   1   2   2.2e-05   2.2e-05   11.3   0.1    32    73   255   296   246   301 0.90 -
6be956b3dd0dfba935   -            364 Dermcidin            PF15291.8     99   4.8e-06   13.4   0.1   2   2      0.23      0.23   -1.6   0.0    12    35   316   339   312   341 0.80 -
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      ../../../tnpBs/data/Pfam-A.hmm
# Target file:     INPUT/faa/6be956b3dd0dfba935.faa
# Option settings: hmmsearch --domtblout hmmer/out_raw/6be956b3dd0dfba935.tsv -E 1 --cpu 32 ../../../tnpBs/data/Pfam-A.hmm INPUT/faa/6be956b3dd0dfba935.faa 
# Current dir:     /home/jupyter/GeneGraphDB/annotate/annotateprot
# Date:            Tue Feb  1 23:45:28 2022
# [ok]
