#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
58587edff93c9575ac   -            359 DUF3823_C            PF18003.3    106   4.9e-06   13.5   0.1   1   2   0.00054   0.00054    6.9   0.0    65    96     3    33     1    41 0.82 -
58587edff93c9575ac   -            359 DUF3823_C            PF18003.3    106   4.9e-06   13.5   0.1   2   2    0.0042    0.0042    4.1   0.0    59    95   216   257   179   264 0.72 -
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      ../../../tnpBs/data/Pfam-A.hmm
# Target file:     INPUT/faa/58587edff93c9575ac.faa
# Option settings: hmmsearch --domtblout hmmer/out_raw/58587edff93c9575ac.tsv -E 1 --cpu 32 ../../../tnpBs/data/Pfam-A.hmm INPUT/faa/58587edff93c9575ac.faa 
# Current dir:     /home/jupyter/GeneGraphDB/annotate/annotateprot
# Date:            Tue Feb  1 23:45:28 2022
# [ok]
