#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
a9a1793552f754a2c3   -            309 AHJR-like            PF18743.3    123   4.3e-06   12.5   0.2   1   2     0.059     0.059   -0.8   0.1    87   118    41    71     5    76 0.71 -
a9a1793552f754a2c3   -            309 AHJR-like            PF18743.3    123   4.3e-06   12.5   0.2   2   2   2.3e-05   2.3e-05   10.2   0.0    34    69   215   252   206   276 0.89 -
a9a1793552f754a2c3   -            309 HTH_OrfB_IS605       PF12323.10    47   1.5e-12   33.2   0.2   1   1   4.5e-12   4.5e-12   31.6   0.2     3    35   162   194   160   199 0.91 -
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      ../../../tnpBs/data/Pfam-A.hmm
# Target file:     INPUT/faa/a9a1793552f754a2c3.faa
# Option settings: hmmsearch --domtblout hmmer/out_raw/a9a1793552f754a2c3.tsv -E 1 --cpu 32 ../../../tnpBs/data/Pfam-A.hmm INPUT/faa/a9a1793552f754a2c3.faa 
# Current dir:     /home/jupyter/GeneGraphDB/annotate/annotateprot
# Date:            Tue Feb  1 23:45:29 2022
# [ok]
