recid,crhash,chash,start,end
AAIYYM010000001.1,9ddf4ac2b5d8558fc79c,e070f4ae32a1c9b0f054,99127,99466
AAIYYM010000001.1,bf5dc45eec76bec61805,e070f4ae32a1c9b0f054,318907,319014
AAIYYM010000001.1,8c3ba0ff63577cc5b37b,e070f4ae32a1c9b0f054,398477,398630
AAIYYM010000003.1,f057e8c10d59c24e5a7c,0ed3dd0bc89df96d5f71,452159,452980
AAIYYM010000003.1,f057e8c10d59c24e5a7c,0ed3dd0bc89df96d5f71,469227,469865
AAIYYM010000004.1,752391d97017ee1ad87d,521b9232eecb4e37dcc3,317698,317827
AAIYYM010000007.1,d130f00bf34f5dc39ba6,a2a28004c8e749e84e2c,361345,361787
AAIYYM010000008.1,ce946677e63df90a6f8c,ed41c6ba295f47c09676,50143,50280
AAIYYM010000012.1,eb750ed382a0cd05f823,0cf7a52ce9cdf1393943,57687,57991
AAIYYM010000017.1,234500c253e0651df814,475a163c0b9d005934c1,60211,60382
