recid,crhash,chash,start,end
AAQUKJ010000001.1,56cb3f55d170ba827dc5,116add55b5576cf96ede,5225,5427
AAQUKJ010000001.1,752391d97017ee1ad87d,116add55b5576cf96ede,612126,612255
AAQUKJ010000001.1,f2fa0e31cebbaac01085,116add55b5576cf96ede,642114,642436
AAQUKJ010000002.1,39c4cd8470e9d6b3f7f2,3a6422a246c3fcd17509,421966,422299
AAQUKJ010000002.1,996c741fe82a2a7d8218,3a6422a246c3fcd17509,422049,422150
AAQUKJ010000002.1,39a127ffa67e3425ca84,3a6422a246c3fcd17509,438457,438608
AAQUKJ010000003.1,ce946677e63df90a6f8c,330099f254a4db510a25,193950,194087
AAQUKJ010000006.1,6dc9e1c07ce5b718d9bd,21aaf971dfe8170c2f2b,3367,3706
AAQUKJ010000007.1,b6f9f31b97662592d756,145affa3982aa6efbdaf,45862,45994
AAQUKJ010000008.1,c3cdd45ef551a765a15d,d5031bac1f6f7740af46,6307,6510
AAQUKJ010000015.1,f820ee56fca33ed67403,eb1c41f2379f35dfc770,51509,51628
