recid,crhash,chash,start,end
JAEEPZ010000001.1,4d894cb188d2333adcdb,e7bb99094b84d8166676,26473,26643
JAEEPZ010000001.1,b6f734f313eaeb3dfd57,e7bb99094b84d8166676,33164,33233
JAEEPZ010000001.1,7f758fdf2291fb82e786,e7bb99094b84d8166676,49102,49268
JAEEPZ010000001.1,a1ff583e6effe4f391e0,e7bb99094b84d8166676,65987,66194
JAEEPZ010000001.1,27ff7d30c8d8463237a7,e7bb99094b84d8166676,70461,70581
JAEEPZ010000002.1,183ecfec927ecfa2fa7b,ca8faf28c3eb2a76163b,26737,26828
JAEEPZ010000002.1,735bda3be23a20a6832b,ca8faf28c3eb2a76163b,29576,29660
JAEEPZ010000003.1,912f7ff50a2f4e032f9c,d7593d4c819dbb0a70af,16460,16545
JAEEPZ010000003.1,477ec83529ad89a01493,d7593d4c819dbb0a70af,72206,72338
JAEEPZ010000004.1,ba12129122608ec5914b,34552a6654385b35ca5d,3498,3614
JAEEPZ010000004.1,496e732043e61457e2b5,34552a6654385b35ca5d,17115,17220
JAEEPZ010000004.1,81befbacd23c470b62e6,34552a6654385b35ca5d,19937,20009
JAEEPZ010000004.1,ea67fddb809ba7d977ab,34552a6654385b35ca5d,69074,69179
JAEEPZ010000005.1,d86834b7092c502f9d6f,4f91df960fcf68339131,72171,72294
JAEEPZ010000006.1,1409b09d31f41694d868,56adc342d92aa2d7f630,15065,15152
JAEEPZ010000006.1,1484f3828e4b5dddd8b4,56adc342d92aa2d7f630,15489,15558
JAEEPZ010000006.1,052d906803d7c35ae20b,56adc342d92aa2d7f630,49664,49756
JAEEPZ010000007.1,6aa79c8b5246602b285a,0dcd028fc325866877c7,58185,58260
JAEEPZ010000008.1,0d00b8ae4527fee51fa7,ee804b1504cb4b80e999,22041,22124
JAEEPZ010000008.1,dae01da0998e2c38665c,ee804b1504cb4b80e999,24484,24591
JAEEPZ010000008.1,0b2394f0f925879cd6c0,ee804b1504cb4b80e999,28182,28264
JAEEPZ010000008.1,c5d8058b463d5b8dac27,ee804b1504cb4b80e999,70389,70476
JAEEPZ010000009.1,d588447e6d026110644c,ad5146c5ae6fdfc4a839,57883,58049
JAEEPZ010000009.1,bf80a8cb60cc755309bf,ad5146c5ae6fdfc4a839,58181,58423
JAEEPZ010000010.1,42beedecc9125b4450eb,40864aa1f7c068a871fa,60079,60246
JAEEPZ010000010.1,23bd6260e2a59246cefd,40864aa1f7c068a871fa,66199,66286
JAEEPZ010000011.1,d68eb705f4f750fdb323,e78c5c221308ba7290d6,13811,13899
JAEEPZ010000011.1,67af9784cce736652b94,e78c5c221308ba7290d6,51388,51568
JAEEPZ010000012.1,e3c4aa2926ceb34fcdaa,63bae6ce2f754aba3843,31546,31640
JAEEPZ010000012.1,8b6dee4c750fa3e6f3dc,63bae6ce2f754aba3843,43016,43246
JAEEPZ010000012.1,d6b47341394c24f22f7f,63bae6ce2f754aba3843,48447,48524
JAEEPZ010000013.1,c16f8ec16d52b2248cdc,2ce91fb18861b4b00ed8,22314,22419
JAEEPZ010000013.1,06357ac5768f11935c94,2ce91fb18861b4b00ed8,31692,31844
JAEEPZ010000013.1,7397b90516bb7f3b3f8a,2ce91fb18861b4b00ed8,52103,52208
JAEEPZ010000013.1,9d215d36f5ed74839d43,2ce91fb18861b4b00ed8,54673,54840
JAEEPZ010000015.1,db52b8503b602af0e53c,181393ac8f1ae4c7ea51,26021,26148
JAEEPZ010000017.1,795cf383365a43fa676c,9594db1bbfccb426ff4f,31354,31474
JAEEPZ010000017.1,9987f6797a3d935b4b68,9594db1bbfccb426ff4f,43904,44073
JAEEPZ010000018.1,3db24d75ee97f4e83c80,a89c8aaab0d95cfd8efa,31545,31622
JAEEPZ010000020.1,0d5975b5d382e84aaf3c,16b2a6add3ba779b2342,1153,1258
JAEEPZ010000020.1,a675e64903fe00dad5c7,16b2a6add3ba779b2342,4939,5114
JAEEPZ010000020.1,d34ba608fce59cc38486,16b2a6add3ba779b2342,13247,13334
JAEEPZ010000021.1,a3d879824697327b60e8,b6a3a3634f439eb2dea2,15123,15508
JAEEPZ010000022.1,c06c6aa1b764c56b9d04,f805a4e168c8b494a967,17442,17563
JAEEPZ010000022.1,e0b4458b94f9b090a618,f805a4e168c8b494a967,22172,22237
JAEEPZ010000022.1,47303f63756d5cd9767a,f805a4e168c8b494a967,36240,36335
JAEEPZ010000023.1,e6526f067e033827bd07,2eb1a032b7c6139ae8f0,3930,4003
JAEEPZ010000023.1,583cd093e2a34ced16cc,2eb1a032b7c6139ae8f0,9891,10069
JAEEPZ010000024.1,39826d4cb539010d1c2a,4da51c03e9068480473e,37236,37374
JAEEPZ010000026.1,46e2543a404f57b4a3e7,b1f8809fe4b632f22615,12471,12556
JAEEPZ010000026.1,d68eb705f4f750fdb323,b1f8809fe4b632f22615,18702,18786
JAEEPZ010000027.1,7effcf6b0566001545c1,d1ecf7e8042cf05622c1,32781,33486
JAEEPZ010000027.1,e094c4ca98f2c09330b0,d1ecf7e8042cf05622c1,33987,34673
JAEEPZ010000027.1,9294be66818190e09dbb,d1ecf7e8042cf05622c1,35468,36020
JAEEPZ010000028.1,4198876b7917907a5161,ffd3a0e93f87dcfae310,32673,32748
JAEEPZ010000030.1,c1555a774831a042a000,ffdff60802cda1434118,16949,17040
JAEEPZ010000031.1,9843dcbb476a674e2f3a,8fcf3b84e068c65eec0f,35181,35343
JAEEPZ010000031.1,7ed6b6075414b0fb0100,8fcf3b84e068c65eec0f,36685,36802
JAEEPZ010000033.1,bd5867e12415794eea88,a0a170a34155d9becda0,4145,4325
JAEEPZ010000033.1,4d41269594333fe0f1ba,a0a170a34155d9becda0,35569,35681
JAEEPZ010000034.1,8f130a4f1aea1fb08d5d,0c71e41c90950179941a,308,380
JAEEPZ010000035.1,16530e5dfd813deb8bc2,04b5b622234a6562bfb2,15641,15717
JAEEPZ010000036.1,197cb51669c805477ca3,8af0006e05e330f9c1f6,9255,9333
JAEEPZ010000038.1,d4934c27b99036a21ec2,a501322f5ebd94bfa360,26809,26884
JAEEPZ010000039.1,26e703e9626a963b3690,a6ac9c158b83732549d2,22000,22107
JAEEPZ010000041.1,f60563ffe6798c392119,ae577071a6f6e3802169,21957,22170
