#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
6c3b2ade31d3833745|53bc58268a383b5d7c|53bc58268a383b5d7c|5091871|NZ_WHYR01000022.1:9140-34373(REV);22269;23147;+  -            293 2-Hacid_dh_C         PF02826.21   178   4.7e-09   31.9   0.0   1   2      0.11        25    0.2   0.0    32    65     3    36     1    55 0.84 -
6c3b2ade31d3833745|53bc58268a383b5d7c|53bc58268a383b5d7c|5091871|NZ_WHYR01000022.1:9140-34373(REV);22269;23147;+  -            293 2-Hacid_dh_C         PF02826.21   178   4.7e-09   31.9   0.0   2   2   1.5e-10   3.3e-08   29.1   0.0    30   116   148   232   133   253 0.77 -
6c3b2ade31d3833745|977664ac82c3bd58cf|3f4e3c38def0c591d6|93301|NZ_KI912183.1:2744632-2770297(FWD);1343;2692;-     -            450 2-Hacid_dh_C         PF02826.21   178   7.8e-05   18.1   0.4   1   3   2.1e-05    0.0044   12.4   0.1    38    75     2    39     1    55 0.85 -
6c3b2ade31d3833745|977664ac82c3bd58cf|3f4e3c38def0c591d6|93301|NZ_KI912183.1:2744632-2770297(FWD);1343;2692;-     -            450 2-Hacid_dh_C         PF02826.21   178   7.8e-05   18.1   0.4   2   3     0.014       3.1    3.1   0.0    30    71   222   263   215   275 0.82 -
6c3b2ade31d3833745|977664ac82c3bd58cf|3f4e3c38def0c591d6|93301|NZ_KI912183.1:2744632-2770297(FWD);1343;2692;-     -            450 2-Hacid_dh_C         PF02826.21   178   7.8e-05   18.1   0.4   3   3       1.2   2.5e+02   -3.1   0.0    54    88   314   349   309   357 0.64 -
6c3b2ade31d3833745|6d7bd366529699c6c0|b10d446b8d0d2187ec|2344771|SLTJ01000032.1:17739-43413(FWD);21389;22258;+    -            290 2-Hacid_dh_C         PF02826.21   178   0.00051   15.5   0.1   1   2      0.13        27    0.0   0.0   134   155    20    41    17    51 0.86 -
6c3b2ade31d3833745|6d7bd366529699c6c0|b10d446b8d0d2187ec|2344771|SLTJ01000032.1:17739-43413(FWD);21389;22258;+    -            290 2-Hacid_dh_C         PF02826.21   178   0.00051   15.5   0.1   2   2   2.5e-05    0.0053   12.1   0.1    33    75   124   166   110   210 0.69 -
6c3b2ade31d3833745|07c8cdeef9a3f24f9b|07c8cdeef9a3f24f9b|1695511|NZ_BFFN01000003.1:71245-96604(FWD);10796;11803;+ -            336 2-Hacid_dh_C         PF02826.21   178    0.0027   13.1   0.0   1   1   2.3e-05    0.0049   12.2   0.0    38    84     4    49     1    57 0.76 -
6c3b2ade31d3833745|9b0220da1490adaa89|9b0220da1490adaa89|1695511|NZ_BFFN01000013.1:0-16083(REV);6228;7187;-       -            320 2-Hacid_dh_C         PF02826.21   178    0.0074   11.7   0.0   1   1   5.4e-05     0.012   11.0   0.0    28    73   117   163    98   174 0.80 -
6c3b2ade31d3833745|c4f0da1a5f6ea738ba|c4f0da1a5f6ea738ba|7004721|DUSP01000124.1:0-21604(FWD);12551;13267;- -            239 2-oxogl_dehyd_N      PF16078.7     41     0.011   11.4   0.0   1   1   1.9e-05     0.021   10.5   0.0    14    26   103   115   102   117 0.94 -
