recid,crhash,chash,start,end
NZ_MCLK01000001.1,dea8ff07ae58ace66f3a,f0001002ef0a709cbcc3,151446,151576
NZ_MCLK01000001.1,ec7197d013b3bcc96dcb,f0001002ef0a709cbcc3,701737,701917
NZ_MCLK01000014.1,472110322f5c3e067838,514560b3df63c82939d7,1,68
NZ_MCLK01000016.1,860ba0528b6c45dfa9a3,58afc4ead8367f14de5b,39929,40038
NZ_MCLK01000023.1,5d68f75b8ac53fa2a9b2,5da4422d6d66a92ca988,131166,131289
NZ_MCLK01000024.1,00713d13146ab7e0e063,e1aa1589192116ae9cc5,9,74
NZ_MCLK01000025.1,cb8ea4118c21990cc679,95b8aca8630bf4bc310c,1,102
NZ_MCLK01000027.1,7abdd8ea58f06db7d866,5e88692cf3aa6a20200d,16190,16287
NZ_MCLK01000036.1,46bca51b19bdbbc83fa8,2080090e0dc0cf7229f2,4113,4216
NZ_MCLK01000045.1,af7c17b49cdfda0f37e1,d8a08ff6dfc718b3b5b4,65731,66054
NZ_MCLK01000064.1,c5f86aaac57b71346a0e,2ab74a4b5ea95ae446a0,214617,214730
