recid,crhash,chash,start,end
CAAJYD010000001.1,c31dd710157ad13c52bd,6dbfcf4ef8bf884e290c,331512,334442
CAAJYD010000001.1,a595968de9ab42b30e44,6dbfcf4ef8bf884e290c,381326,382204
CAAJYD010000001.1,b1e42fbc73487c44d1af,6dbfcf4ef8bf884e290c,416452,416987
CAAJYD010000002.1,417987eb99f58dc7374e,6935589b92a300a6df36,104138,104764
CAAJYD010000003.1,5bd83a6ba29219ca6b84,9babed8597e76df3114f,138315,138645
CAAJYD010000003.1,217084d8c699c2667051,9babed8597e76df3114f,150418,150827
CAAJYD010000005.1,5452037aa52bd7d0e4a0,e7d08fa1a8b04ba2d15a,17287,17530
CAAJYD010000005.1,e7fd31c8ac673bb3335d,e7d08fa1a8b04ba2d15a,135571,135798
CAAJYD010000006.1,c8f4ce9a31b667319377,6e93ae934540760a45b1,5842,6066
CAAJYD010000006.1,b2868d878a12d8514497,6e93ae934540760a45b1,49884,51049
CAAJYD010000006.1,aa330ae99b5b7c49f608,6e93ae934540760a45b1,69306,69549
CAAJYD010000007.1,0da4c04fd4cfb47841e2,24abf71730bd3318eb42,22485,22688
CAAJYD010000007.1,417987eb99f58dc7374e,24abf71730bd3318eb42,125741,127862
CAAJYD010000008.1,8b2ab62cdc48ba3f1a40,207f5fa8f8012aa17418,63538,63603
CAAJYD010000010.1,52bfd82e72277f95a1a0,1917f4b486f6a48fbe5b,63848,66446
CAAJYD010000015.1,fb389146b66bb9cbe0b4,9585880a64f9dcceb6e7,41803,41970
CAAJYD010000015.1,22b97c7088569a26826a,9585880a64f9dcceb6e7,41817,42278
CAAJYD010000015.1,de6536e5be56bc734731,9585880a64f9dcceb6e7,49511,49612
CAAJYD010000015.1,b9264ea715ae3d98035b,9585880a64f9dcceb6e7,57057,57330
CAAJYD010000015.1,0230ab02a388984ffea8,9585880a64f9dcceb6e7,59468,59873
CAAJYD010000015.1,646a12cab538d2cdb9a1,9585880a64f9dcceb6e7,65760,66139
CAAJYD010000015.1,86ec80d923c7a6a067db,9585880a64f9dcceb6e7,70110,70347
CAAJYD010000015.1,079e7c517a74d069d4d6,9585880a64f9dcceb6e7,103373,103594
CAAJYD010000015.1,166011a07f873b2f17ef,9585880a64f9dcceb6e7,104156,104387
CAAJYD010000015.1,3c87bb7175e8b1c49765,9585880a64f9dcceb6e7,104508,104733
CAAJYD010000016.1,74500774fbf64fadc872,3a4669a08bb844ce67cd,89727,89804
CAAJYD010000021.1,bc13b26b900ad991cbba,45825f2c38ddfcf911ed,1602,2750
CAAJYD010000023.1,d0bf796e9fcdbb48df2b,f3c345028deb5f3d771d,7749,8104
CAAJYD010000023.1,7bba87beeb8223b9c00f,f3c345028deb5f3d771d,22623,22982
CAAJYD010000023.1,07d7c6f81cdae33378be,f3c345028deb5f3d771d,48309,48476
CAAJYD010000024.1,e55891a6d1fc5b29e1a1,997934a9175f0a64c29b,3477,3805
CAAJYD010000025.1,4dc56518d42d504760a4,887285c2fb0cf7583585,2954,3041
CAAJYD010000035.1,874d414f10781823d4f3,b0035fdfe4bc7ebfcdbe,5039,5152
CAAJYD010000035.1,1f2aa23328c7a7206778,b0035fdfe4bc7ebfcdbe,10857,11169
CAAJYD010000035.1,7c9dbd5b86b0352e6436,b0035fdfe4bc7ebfcdbe,14429,14497
CAAJYD010000047.1,a43a70d563ab7c2766a9,d022c7f7e242752bd4d6,3374,3584
CAAJYD010000047.1,fbd05864d824a3c69cc0,d022c7f7e242752bd4d6,5134,5290
