recid,crhash,chash,start,end
ONWC01000008.1,d52c85ff00594e0c403e,0eae6e868e228e049a75,19705,19786
ONWC01000048.1,fc3adfb6182fc13a327a,d24cfd2c767746015b5d,155,269
ONWC01000059.1,54641d376a217bdd8b4d,2676023db504c9d8b0b8,16697,16764
ONWC01000065.1,8fd536d22e4510cb5c61,0329bb2e1638cce05da5,305,390
ONWC01000096.1,0ee3858552e6e3ab1ad6,c866af17f72d33229fe3,627,745
ONWC01000116.1,6939c17ad2fe979af6db,7bab58f488a28a36800b,6657,6734
ONWC01000135.1,13f65dfb573a6c21995d,29e5f988b001b175f0c5,1569,1697
ONWC01000136.1,e26bbf93ff30cb9b438f,f2d587ab35e0f477cdf0,3525,3719
ONWC01000223.1,c00b0667448f65f1abda,49e0b60c15b05e7919b9,3521,3612
ONWC01000245.1,f294178140f01b8056cd,9d8c7a2f3f44f325c0e9,1257,1368
