recid,crhash,chash,start,end
AAQDKZ010000001.1,c358c97d221a2faf54e2,49d9f1cf50e7dca9f194,383083,383490
AAQDKZ010000001.1,5d68f75b8ac53fa2a9b2,49d9f1cf50e7dca9f194,413371,413500
AAQDKZ010000003.1,ce946677e63df90a6f8c,1257faf06f069a82e801,55924,56061
AAQDKZ010000004.1,499384a65e3ed9fc3fd7,1cac9434838db342fd18,240978,241555
AAQDKZ010000004.1,499384a65e3ed9fc3fd7,1cac9434838db342fd18,241569,242453
AAQDKZ010000004.1,499384a65e3ed9fc3fd7,1cac9434838db342fd18,258564,260484
AAQDKZ010000005.1,56cb3f55d170ba827dc5,1f15bc191d967906fab8,5429,5631
AAQDKZ010000007.1,849cbf46908b53477af6,8be9df37ce1140f8f7fe,15492,15876
AAQDKZ010000019.1,c2ffe9ff25ca9cac77a2,d86f5f6c72c8f32197db,60432,60760
AAQDKZ010000026.1,21620a588a7496fabf11,f095847d87d77608f2c6,10328,10770
