recid,crhash,chash,start,end
AADRZJ010000003.1,649435b736cc5b85472b,e4014b63c7c27365ab2f,165329,165424
AADRZJ010000003.1,4a6703c9b995f4dcf126,e4014b63c7c27365ab2f,368217,368611
AADRZJ010000005.1,48b22c7b8b1069dfda60,3b5350d9ce442e511e72,100429,100610
AADRZJ010000005.1,d5c062f121b4fb6f7781,3b5350d9ce442e511e72,267548,267841
AADRZJ010000006.1,752391d97017ee1ad87d,6e3688a3882c6146b81e,299910,300039
AADRZJ010000007.1,6fb436e9ca7c60774e12,441200625844c1c1de6e,56427,56610
AADRZJ010000009.1,04f9ff767bf80d62249a,a51df1b75071605c3760,56831,56976
AADRZJ010000009.1,13d6b8afaa15276de589,a51df1b75071605c3760,142400,142481
AADRZJ010000012.1,b15ddee4d2a40847813e,566b70a3473870d1ac32,158114,158201
AADRZJ010000012.1,499384a65e3ed9fc3fd7,566b70a3473870d1ac32,167318,167773
