recid,crhash,chash,start,end
AAUTYQ010000001.1,752391d97017ee1ad87d,0085be7e13edb6c39a06,297857,297986
AAUTYQ010000001.1,8ef2a3ebfd8002bc3c39,0085be7e13edb6c39a06,327869,328258
AAUTYQ010000002.1,f057e8c10d59c24e5a7c,9307fc7ad61447721444,501808,502569
AAUTYQ010000002.1,f057e8c10d59c24e5a7c,9307fc7ad61447721444,512100,512494
AAUTYQ010000003.1,2163aa1c3bfcd585a38d,b10686e617959489d3e6,96513,96773
AAUTYQ010000003.1,09fdf557cda9e9d887ac,b10686e617959489d3e6,265570,265909
AAUTYQ010000005.1,54bb5994aa3d3b3df33a,9dea44f1607653d6954c,247641,247977
AAUTYQ010000006.1,04f9ff767bf80d62249a,ace75bb3348d3f64be56,56943,57088
AAUTYQ010000006.1,5dfa025ff9f131692834,ace75bb3348d3f64be56,142236,142383
AAUTYQ010000006.1,e590fe50992225522ef5,ace75bb3348d3f64be56,363731,364017
