recid,crhash,chash,start,end
JAELLX010000001.1,f057e8c10d59c24e5a7c,4813fa32f744931f7a38,453920,455413
JAELLX010000001.1,f057e8c10d59c24e5a7c,4813fa32f744931f7a38,471544,472794
JAELLX010000001.1,f057e8c10d59c24e5a7c,4813fa32f744931f7a38,472869,473446
JAELLX010000002.1,752391d97017ee1ad87d,16724ae65565232a267f,363713,363842
JAELLX010000002.1,aa38fd2bf1b17ed74699,16724ae65565232a267f,393702,394109
JAELLX010000003.1,6cb6e33ec1bbeb05a449,5cc251341ffe166add33,320564,320701
JAELLX010000004.1,439f96ac59e00215e58f,1db3ffd69e36a754c374,144855,145167
JAELLX010000028.1,955976fb2c1bfc72ba3c,6c73eb3887dbcbca3b0a,5231,5540
JAELLX010000029.1,a34e496dfb56337846e7,1b2ef852353b6b7bb78f,3451,3834
JAELLX010000033.1,668441165c79ced48959,6e433c58c57c99bc662e,8237,8496
JAELLX010000043.1,d130f00bf34f5dc39ba6,a7777b890da03ad2d490,1221,1423
