recid,crhash,chash,start,end
DACRGY010000001.1,c358c97d221a2faf54e2,0284e7422a632474ba74,382560,382967
DACRGY010000001.1,5d68f75b8ac53fa2a9b2,0284e7422a632474ba74,412848,412977
DACRGY010000003.1,ce946677e63df90a6f8c,f72182c9da0ce70ffe95,56193,56330
DACRGY010000005.1,499384a65e3ed9fc3fd7,59884b22f048847d1e33,214597,215297
DACRGY010000005.1,499384a65e3ed9fc3fd7,59884b22f048847d1e33,231429,233166
DACRGY010000016.1,0cc7d6a7b478b5661467,b6f1f463d0ca3680ab7f,14564,14948
DACRGY010000023.1,e31cf19e80f724603e00,522162296d39dc016557,25055,25217
DACRGY010000023.1,bdd7ef9f52ce979ad696,522162296d39dc016557,30484,30588
DACRGY010000034.1,9f5285ef35bdc2da6d8c,a782299f79c4d90430a8,13846,13949
DACRGY010000039.1,d130f00bf34f5dc39ba6,965a3bc061a6d461a704,1143,1345
